total_timesteps,value_loss,policy_entropy,clipfrac,serial_timesteps,time_elapsed,policy_loss,approxkl,explained_variance,fps,n_updates,ep_len_mean,ep_reward_mean
372736,0.006600958,0.03144113,0.0,23296,66.90701270103455,0.00024884078,2.232271e-05,0.9937582113780081,6937,1456,126.34,-126.34
372992,0.02296153,0.06449687,0.0009765625,23312,66.94420886039734,-0.000642178,7.847717e-05,0.9849036391824484,7164,1457,126.3,-126.3
373248,0.019121502,0.03046191,0.008300781,23328,66.98022890090942,-0.0037066997,0.001295768,0.9874168615788221,7794,1458,126.26,-126.26
373504,0.010576628,0.065433376,0.008300781,23344,67.01339483261108,-0.0011182303,0.0017276707,0.9901137026026845,7885,1459,125.84,-125.84
373760,0.017967189,0.033587802,0.00048828125,23360,67.04619479179382,-9.925896e-05,8.333716e-05,0.9833898935467005,7788,1460,125.87,-125.87
374016,0.013868546,0.041696273,0.00390625,23376,67.07936882972717,-0.00081780355,0.0002331709,0.9836938362568617,7817,1461,126.31,-126.31
374272,0.025828194,0.05060108,0.005859375,23392,67.11239075660706,-0.00083378365,0.0003697316,0.9684663899242878,6351,1462,125.98,-125.98
374528,0.0154536655,0.025447425,0.0034179688,23408,67.15310096740723,-0.0012834198,0.00035698293,0.9819541666656733,6850,1463,125.98,-125.98
374784,0.010607135,0.0461841,0.0029296875,23424,67.19078993797302,-0.0010006651,0.00031831383,0.9893534909933805,5721,1464,125.95,-125.95
375040,0.015641972,0.00842195,0.0,23440,67.23602795600891,9.756943e-05,2.6252887e-05,0.9885592246428132,5372,1465,126.03,-126.03
375296,0.1596329,0.06064372,0.0048828125,23456,67.28407096862793,-0.0018686831,0.00026843854,0.9055694118142128,5497,1466,125.75,-125.75
375552,0.013447683,0.030430198,0.0,23472,67.33103895187378,8.691219e-05,6.7629726e-06,0.9922361164353788,6323,1467,125.73,-125.73
375808,0.007821166,0.041627023,0.0,23488,67.3718318939209,-7.573725e-05,4.4466084e-05,0.992374932859093,7021,1468,125.73,-125.73
376064,0.009020113,0.05605806,0.0,23504,67.4086856842041,-0.00028307852,4.177865e-05,0.9941655471920967,7665,1469,125.42,-125.42
376320,0.0116857225,0.030323217,0.0053710938,23520,67.44239473342896,-0.0013973063,0.0007679495,0.9875360867008567,7620,1470,125.42,-125.42
376576,0.01678118,0.053359598,0.010253906,23536,67.47628903388977,-0.0013010936,0.0008495464,0.9791056793183088,7693,1471,124.98,-124.98
376832,0.010661717,0.010475725,0.0,23552,67.50990986824036,5.8359466e-05,2.5978738e-06,0.986911853775382,7712,1472,124.62,-124.62
377088,0.014580729,0.02154212,0.001953125,23568,67.54342985153198,-0.0007822834,9.190585e-05,0.9879447910934687,7634,1473,124.03,-124.03
377344,0.014697915,0.028473044,0.008300781,23584,67.57726883888245,-0.0039944816,0.000798485,0.9902073228731751,7645,1474,124.13,-124.13
377600,0.010111397,0.027268829,0.00390625,23600,67.61106085777283,0.00041777175,0.00022993941,0.9937908337451518,7783,1475,124.85,-124.85
377856,0.00947756,0.029798448,0.0,23616,67.64428067207336,2.1004933e-05,7.5885424e-07,0.9917637333273888,8038,1476,124.64,-124.64
378112,0.008074197,0.030763444,0.0,23632,67.6764268875122,-3.889075e-05,4.409696e-06,0.9915549103170633,7874,1477,125.05,-125.05
378368,0.0108427815,0.05394541,0.0034179688,23648,67.7092559337616,-0.0011686529,0.00023470042,0.9869392765685916,7794,1478,125.41,-125.41
378624,0.01638021,0.029415157,0.0,23664,67.74250173568726,5.5770855e-05,2.9432995e-05,0.9799143150448799,7638,1479,125.31,-125.31
378880,0.16104838,0.033918485,0.008300781,23680,67.77632188796997,-0.0016502368,0.0008141636,0.862033948302269,7844,1480,124.79,-124.79
379136,0.013195014,0.040718537,0.0078125,23696,67.80930471420288,-1.1513941e-05,0.00036796174,0.9869512692093849,7661,1481,124.77,-124.77
379392,0.0148910815,0.045244705,0.0,23712,67.84300684928894,-0.00063424057,3.223901e-05,0.988749323412776,7864,1482,125.2,-125.2
379648,0.015736612,0.02405409,0.0,23728,67.87585592269897,5.594868e-05,1.238552e-05,0.9884977759793401,7928,1483,124.84,-124.84
379904,0.012906551,0.032021604,0.0024414062,23744,67.908442735672,-0.0010638848,0.00033575582,0.9876063326373696,7799,1484,124.46,-124.46
380160,0.018339591,0.04348495,0.0029296875,23760,67.94153809547424,-0.0012585379,0.00025471018,0.9749184176325798,506,1485,124.08,-124.08
